ID;Title;WebsiteURL;Comments;BookingURL;ContactEmail;FaultReportEmail
45;(Business Owner at Location);None;For use when the operator of the equipment is a single business owner connected to the location and equipment is not part of a larger network;None;None;None
44;(Private Residence/Individual);None;For use when the operator is a home owner or private individual making their own facilities available to the public;None;None;None
1;(Unknown Operator);None;None;None;None;None
3333;AAE;https://www.aae.at/;None;None;None;None
26;AeroVironment;http://www.avinc.com/;None;None;None;None
118;AGSM Electrify Verona;https://www.agsm.it/I-servizi/Electrify-Verona;None;None;None;None
3326;Alfapower (UK);http://www.alfapower.co.uk/;None;None;None;None
180;Alfen;http://www.alfen.com/;None;None;None;None
3336;Alizé;https://alizecharge.com/en/;None;None;None;None
3410;Alizé Liberté;https://alizecharge.com/;None;None;None;None
103;Allego BV;http://www.allego.eu/;None;None;info@allego.eu;None
3383;AlterBase - Sorégies (FR);http://www.alterbase86.soregies.fr/portal/#/;None;None;service-recharge@soregies.fr;None
3305;AMB (Àrea metropolitana de Barcelona);http://www.amb.cat/en/web/mobilitat/mobilitat-sostenible/electrolineres;None;None;None;None
212;Amersam;http://nou.amersam.cat/;None;None;amersam@amersam.com;None
56;Auto Bleue;http://www.auto-bleue.org/;None;None;None;None
3362;Autoenterprise / АвтоЭнтерпрайз;https://www.autoenterprise.com.ua/;None;None;None;None
53;Autolib (Paris);https://www.autolib.eu/;None;None;None;None
3284;autoPilDYK;http://autopildyk.lt/;None;None;pagalba@autopildyk.lt;None
3303;Avacon;https://www.avacon.de/;None;None;info@avacon.de;None
43;AVCON;None;Obsolete inductive paddle charging;None;None;None
3352;Axpo Energy Solutions Italia;https://www.axpo.com/axpo/it/it/chi-siamo/localita-europa/sedi-italia.html;IT*AXP;None;None;None
186;Azra Network;http://azranetwork.co/azra/;None;None;info@azranetwork.co;None
3292;Badenova (DE);https://www.badenova.de/web/Privatkunden/E-Mobilit%C3%A4t/%C3%96ffentliches-Laden/index-2.jsp;None;None;e-mobility@badenova.de;None
3385;BC Hydro;https://ev.bchydro.com;None;None;None;None
3327;Be Charge (Italy);https://www.bec.energy/;None;None;None;None
214;be emobil;http://www.be-emobil.de/;None;None;dialog@be-emobil.de;None
3261;Be Energised;https://beenergised.com/;also known as has.to.be;None;None;None
94;BeCharged;http://www.becharged.eu/;None;None;info@becharged.eu;None
1235;Belib’;http://belib.paris/;None;None;contact@sodetrel.fr;sav@sodetrel.fr
3268;Belorusneft;http://www.belorusneft.by/beloil-map/?lang=en;None;None;None;None
9;Blink Network/ECOtality;http://www.blinknetwork.com/;Membership based charging network, part of Car Charging Group, inc.;https://prod.blinknetwork.com/membership.html;support@blinknetwork.com;support@blinknetwork.com
36;Blue Corner (Belgium);http://www.bluecorner.be/;None;None;None;None
3331;BLUETORINO;https://www.bluetorino.eu/ricarica;None;None;None;None
129;BS Energie;http://www.bs-energy.de/engagement/umwelt/elektromobilitaet/elektrotankstellen/;None;None;energieberatung@bs-energy.de;None
3304;Celsia;https://www.celsia.com/;None;None;None;None
115;ČEZ;http://www.elektromobilita.cz/;None;None;None;None
3345;Char.gy;https://char.gy;different organisation to similarly named organisation in Luxembourg;None;None;None
202;Charge & Drive (Fortum - NO);http://www.fortum.no/hurtigladere;None;None;chargedrive.no@fortum.com;None
215;Charge & Fuel;https://www.volkswagenleasing.de/de/home/mobilitaetsdienstleistungen/europa_tank_servicekarten/charge-fuel-card.html;None;None;tankkarten@vwfs.com;None
20;Charge Your Car;http://www.chargeyourcar.org.uk/;None;None;admin@chargeyourcar.org.uk;admin@chargeyourcar.org.uk
229;charge.net.nz;https://charge.net.nz/;None;None;None;None
3339;Chargefox;https://chargefox.com;None;None;None;None
3374;ChargeGrid;https://chargegrid.in/;None;None;tech.support@magentapower.in;tech.support@magentapower.in
101;ChargeIT mobility;http://www.chargeit-mobility.com/;None;None;info@chargeit-mobility.com;None
96;ChargeLounge;http://www.chargelounge.de/;None;None;info@chargelounge.de;None
8;Chargemaster;http://chargemasterplc.com/;Operate networks in both UK and France;None;polarenquiries@chargemasterplc.com;polarenquiries@chargemasterplc.com
227;chargeNET (lk);http://chargenet.lk/;None;None;info@vega.lk;None
173;ChargeNow;https://www.chargenow.com/;None;None;None;None
3315;Chargeplace Scotland;http://chargeplacescotland.org/;Operated by ChargeYourCar on behalf of Transport Scotland. CYC cards/app accepted;None;None;None
5;ChargePoint (Coulomb Technologies);http://www.chargepoint.net/;None;None;support@coulombtech.com;support@coulombtech.com
3310;Chargestar (AU);http://chargestar.com.au/;None;None;None;None
3338;chargEV;https://chargev.my/;None;None;chargev@greentechmalaysia.my;chargev@greentechmalaysia.my
3321;Chargy (LU);https://chargy.lu/;None;None;None;None
90;Circuit Electrique;http://www.lecircuitelectrique.com;None;None;infocircuitelectrique@caaquebec.com;None
3349;City EV;https://cityev.net/user-instructions/;Lamp post mounted chargers, plugsurfing RFID or app;None;None;None
185;CLEVER;https://www.clever.dk/;None;None;kundeservice@clever.dk;None
31;Clipper Creek;None;None;None;None;None
3360;CNR (Compagnie Nationale du Rhône);https://www.cnr.tm.fr;None;None;None;None
3369;Comfortcharge;https://www.comfortcharge.de/;Deutsche Telekom Comfortcharge;None;None;None
3364;Copec Voltex;https://ww2.copec.cl/voltex;None;None;None;None
3320;da emobil;http://www.da-emobil.com/ladenetz;None;None;None;None
3263;DEWA;https://www.dewa.gov.ae/;Dubai Electricity and Water Authority (DEWA);None;None;None
66;Drehstromnetz;http://www.drehstromnetz.de;None;None;None;None
3316;Drive Eco;http://driv-eco.com/index.php/en/home-eng/;None;None;None;None
3332;Driwe;https://www.driwe.eu/;None;None;None;None
3267;Duferco Energie;https://mobility.dufercoenergia.com/;None;None;mobility@dueenergie.com;None
192;E.ON (CZ);http://www.ekobonus.cz/ekologicka-doprava/elektromobilita;None;None;None;None
46;E.ON (DE);https://www.eon.de/de/eonde/pk/produkteUndPreise/E.ON_eMobil/index.htm;None;None;None;None
3251;E.ON (DK);https://www.eon.dk/privat/strom-til-din-elbil.html;None;None;None;None
3359;E.ON (HU);https://www.eon.hu/;None;None;None;None
3403;E.ON Drive (UK);https://www.eonenergy.com/eon-drive-ev-charging.html;None;None;None;None
3294;EAC e-charge;https://www.eac.com.cy/En/CustomerService/eCharge/Pages/default.aspx;Electricity Authority of Cyprus;None;None;None
140;EAM;http://www.eam.de/ueber-uns/unternehmensprofil/standorte/;None;None;None;None
3314;Easy4You;http://www.easy-4-you.ch;None;None;None;None
3324;EasyCharger;https://easycharger.es/;None;None;None;None
1241;EasyGO (aka Carcharger.ie);https://easygo.ie/;None;None;None;None
3302;Easypark;https://easypark.fi/;Parking operator, EV chargers activated by mobile phone app;None;None;None
42;EATON;http://www.eaton.com;None;None;None;None
3408;eborn;https://www.eborn.fr/;None;None;None;None
93;E-Car;http://www.ecarni.com/;None;None;ecar@drdni.gov.uk;None
3271;e-Charge (Romania);http://e-charge.ro/;Renovatio E-Charge;None;office@e-charge.ro;None
3309;echargenet - State Grid Corportation of China;http://www.echargenet.com;None;None;None;None
3413;EcoCharge77;https://ecocharge77.fr;None;None;None;None
77;Ecoplug;http://www.ecoplug.be/index.html;None;None;info@ecoplug.be;None
83;Ecospazio (Italy);http://www.ecospazio.it/;None;None;info@ecospazio.it;None
179;Ecotap;http://www.ecotap.nl/;None;None;None;None
24;Ecotricity;http://www.ecotricity.co.uk/for-the-road/;Pay-as-you-go, app-based charging, mostly at Motorway Services in the UK;None;fortheroad@ecotricity.co.uk;fortheroad@ecotricity.co.uk
3312;EDF;None;None;None;None;None
3276;EDP;http://www.edp.pt/;None;None;None;None
199;EDP MOP;http://www.edp.pt/;None;None;None;None
208;eDrop;http://www.edrop.ch/;None;None;info@edrop.ch;None
3264;EE-Mobil;http://www.ee-mobil.de/;None;None;info@ee-mobil.de;None
171;EEW Duderstadt;http://www.ewb-duderstadt.de/de/Strom/Ausgezeichnet.html;None;None;info@eew-duderstadt.de;None
3281;Effia;https://www.resaplace.com/;Resaplace Parking;None;None;None
2243;eins;http://www.eins.de/privatkunden/strom/elektromobilitaet/;None;None;Robby.Hartl@eins.de;None
